semSort,id,level,card,semPath,businessTerm,dataType,bindingSort,syntaxID,businessTerm_en,desc,businessTerm_ja,desc_ja,synSort,xPath,occur,defaultValue
1410,JC30_JC10_02,2,,/JC00/JC30_JC10/JC30_JC10_02,ヘッダ注釈内容,Text,1260,IBT-022,Invoice note,A textual note that gives unstructured information that is relevant to the Invoice as a whole.,請求書注釈内容,注釈の内容を入力するフリースペース。,1080,/Invoice/ cbc:Note,0..1,
1415,JC30_JC10_04,2,,/JC00/JC30_JC10/JC30_JC10_04,課税基準日,Date,1070,IBT-007,TAX point date,"The date when the TAX becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice	 according to the TAX directive.",課税基準日,0,1090,/Invoice/ cbc:TaxPointDate,0..1,
1430,JC72_JC13,1,n,/JC00/JC72_JC13,ヘッダ参照文書,,2870,ibg-24,ADDITIONAL SUPPORTING DOCUMENTS,A group of business terms providing information about additional supporting documents substantiating the claims made in the Invoice.,添付書類,請求書内で行われたクレームを実証する添付書類についての情報を提供するビジネス用語のグループ。,1360,/Invoice/ cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')],0..n,
1450,JC72_JC13_01,2,,/JC00/JC72_JC13/JC72_JC13_01,文書ID,Code,2880,IBT-122,Supporting document reference,An identifier of the supporting document.,添付書類への参照,添付書類のID。,1370,/Invoice/ cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/ cbc:ID,1..1,
1500,JC72_JC13_06,2,,/JC00/JC72_JC13/JC72_JC13_06,文書情報,Text,2890,IBT-123,Supporting document description,A description of the supporting document.,添付書類の説明,添付書類の説明。,1380,/Invoice/ cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/ cbc:DocumentDescription,0..1,
1540,JC72_JC13_15,2,,/JC00/JC72_JC13/JC72_JC13_15,添付バイナリファイル,Text,2900,IBT-125,Attached document,An attached document embedded as binary object or sent together with the invoice.,添付書類,バイナリオブジェクトとして埋め込まれた、または請求書と一緒に送られた添付書類。,1400,/Invoice/ cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/ cac:Attachment/ cbc:EmbeddedDocumentBinaryObject,0..1,
1565,,,,,,,2898,,,,,,1390,/Invoice/ cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/ cac:Attachment,0..1,
1570,JC72_JC13_11,3,,/JC00/JC72_JC13/JC72_JC13_11,添付バイナリファイル名,Text,2920,IBT-125-2,Attached document Filename,ー,添付書類ファイル名,ー,1410,/Invoice/ cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/ cac:Attachment/ cbc:EmbeddedDocumentBinaryObject/@filename,1..1,
1575,,,,,,,2922,,,,,,1430,/Invoice/ cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/ cac:Attachment/ cac:ExternalReference,0..1,
1580,JC72_JC13_13,3,,/JC00/JC72_JC13/JC72_JC13_13,添付バイナリファイルのMIMEコード,Code,2910,IBT-125-1,Attached document Mime code,"Allowed mime codes:
application/pdf
image/png
image/jpeg
text/csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
application/vnd.oasis.opendocument. spreadsheet",添付書類MIMEコード,"許可されているMIMEコード:
application/pdf
image/png
image/jpeg
text/csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
application/vnd.oasis.opendocument. Spreadsheet",1420,/Invoice/ cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/ cac:Attachment/ cbc:EmbeddedDocumentBinaryObject/@mimeCode,1..1,
1590,JC72_JC13_12,2,,/JC00/JC72_JC13/JC72_JC13_12,添付バイナリファイルURI ID,Text,2930,IBT-124,External document location,The URL (Uniform Resource Locator) that identifies where the external document is located.,外部ドキュメントのロケーション,外部ドキュメントの所在を示すURL（ユニフォームリソースロケータ）,1440,/Invoice/ cac:AdditionalDocumentReference[not(cbc:DocumentTypeCode='130')]/ cac:Attachment/ cac:ExternalReference/ cbc:URI,0..1,
1630,,1,,,買い手参照,Text,1100,IBT-010,Buyer reference,An identifier assigned by the Buyer used for internal routing purposes.,買い手参照,買い手によって割り当てられたIDで、買い手の請求書精算業務の処理ワークフローで使用する。,1130,/Invoice/ cbc:BuyerReference,0..1,
1650,JC32_1_JC23,1,1,/JC00/JC32_1_JC23,売り手,,1330,IBG-04,SELLER,A group of business terms providing information about the Seller.,売り手,売り手に係る情報を提供するビジネス用語のグループ。,1470,/Invoice/ cac:AccountingSupplierParty,1..1,
1670,JC32_1_JC23_01,2,,/JC00/JC32_1_JC23/JC32_1_JC23_01,売り手ID,Identifier,1360,IBT-029,Seller identifier,An identification of the Seller.,売り手ID,売り手を表すID。,1550,"/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PartyIdentification/ cbc:ID[not(@schemeID=""SEPA"")]",0..n,
1680,JC32_1_JC23_20,2,,/JC00/JC32_1_JC23/JC32_1_JC23_20,スキーマID,Code,1370,IBT-029-1,Seller identifier Scheme identifier,"If used, the identification scheme identifier shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",スキーマID,使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,1560,"/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PartyIdentification/ cbc:ID[not(@schemeID=""SEPA"")]/@schemeID",0..1,
1690,JC32_1_JC23_02,2,,/JC00/JC32_1_JC23/JC32_1_JC23_02,売り手国際企業ID,Identifier,1380,IBT-030,Seller legal registration identifier,An identifier issued by an official registrar that identifies the Seller as a legal entity or person.,売り手法人ID,公的機関が発行した売り手を法人や個人として識別するID。,1790,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PartyLegalEntity/ cbc:CompanyID,0..1,
1700,JC32_1_JC23_21,2,,/JC00/JC32_1_JC23/JC32_1_JC23_21,スキーマID,Code,1390,IBT-030-1,Seller legal registration identifier Scheme identifier,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",スキーマID,使用する場合、識別スキーマは、ISO/IEC 6523 保守機関が公開しているリストから選択しなければならない。,1800,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PartyLegalEntity/ cbc:CompanyID/@schemeID,0..1,
1705,JC32_1_JC23_22,2,,/JC00/JC32_1_JC23/JC32_1_JC23_22,売り手追加法的情報,Text,1420,IBT-033,Seller additional legal information,Additional legal information relevant for the Seller.,売り手追加法的情報,売り手に関する追加の法的情報。,1810,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PartyLegalEntity/ cbc:CompanyLegalForm,0..1,
1710,JC32_1_JC23_03,2,,/JC00/JC32_1_JC23/JC32_1_JC23_03,売り手名称,Text,1340,IBT-027,Seller name,The full formal name by which the Seller is registered in the national registry of legal entities or as a Taxable person or otherwise trades as a person or persons.,売り手名称,売り手が所在国の法人登録簿に法人、または課税対象者として登録されている、またはその他の方法で1人または複数の人として登録されている完全な正式名称。,1780,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PartyLegalEntity/ cbc:RegistrationName,1..1,
1720,JC32_1_JC23_04,2,,/JC00/JC32_1_JC23/JC32_1_JC23_04,適格請求書発行事業者登録番号,Identifier,1400,IBT-031,Seller TAX identifier,The Seller’s TAX identifier (also known as Seller TAX identification number).,売り手税ID,売り手の税ID(売り手の税識別番号ともよばれる）。,1700,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PartyTaxScheme[cac:TaxScheme/ cbc:ID='VAT']/ cbc:CompanyID,0..1,
1725,JC32_1_JC23_23,3,,/JC00/JC32_1_JC23/JC32_1_JC23_23,税スキーマ,Code,1405,IBT-031-1,Tax scheme code,,税スキーマ,,1710,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PartyTaxScheme[cac:TaxScheme/ cbc:ID='VAT']/ cac:TaxScheme/ cbc:ID,0..1,VAT
1727,JC32_1_JC23_24,2,,/JC00/JC32_1_JC23/JC32_1_JC23_24,売り手税登録ID,Code,1410,IBT-032,Seller TAX registration identifier,The local identification (defined by the Seller’s address) of the Seller for tax purposes or a reference that enables the Seller to state his registered tax status.,売り手税登録ID,税務上の売り手の所在地における登録ID（売り手の住所で定義された値）。または売り手が登録済みの税務状況を示すことを可能にする参照ID。,1740,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PartyTaxScheme[cac:TaxScheme/ cbc:ID!='VAT']/ cbc:CompanyID,1..1,
1728,JC32_1_JC23_25,3,,/JC00/JC32_1_JC23/JC32_1_JC23_25,税スキーマ,Code,1415,IBT-032-1,Tax scheme code,,税スキーマ,,1760,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PartyTaxScheme[cac:TaxScheme/ cbc:ID!='VAT']/ cac:TaxScheme/ cbc:ID,0..1,
1729,JC32_1_JC23_26,2,,/JC00/JC32_1_JC23/JC32_1_JC23_26,売り手商号,Text,1350,IBT-028,Seller trading name,"A name by which the Seller is known	 other than Seller name (also known as Business name).",売り手商号,売り手名称以外で、知られているビジネス上の名称（商号ともよばれる）。,1580,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PartyName/ cbc:Name,1..1,
1740,,,,,,,1540,IBG-06,SELLER CONTACT,A group of business terms providing contact information about the Seller.,売り手連絡先,売り手の連絡先に係る情報を提供するビジネス用語のグループ。,1820,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:Contact,0..1,
1770,JC32_1_JC23_07,2,,/JC00/JC32_1_JC23/JC32_1_JC23_07,売り手担当名,Text,1545,IBT-041,Seller contact point,A contact point for a legal entity or person.,売り手連絡先,売り手の連絡先の個人の、文字で表現された名前（部門名を含む）。,1830,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:Contact/ cbc:Name,0..1,
1780,JC32_1_JC23_08,2,,/JC00/JC32_1_JC23/JC32_1_JC23_08,売り手部門名,Text,1550,IBT-041,Seller contact point,A contact point for a legal entity or person.,売り手連絡先,売り手の連絡先の個人の、文字で表現された名前（部門名を含む）。,1830,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:Contact/ cbc:Name,0..1,
1820,JC32_1_JC23_10,2,,/JC00/JC32_1_JC23/JC32_1_JC23_10,売り手電話番号,Text,1560,IBT-042,Seller contact telephone number,A phone number for the contact point.,売り手連絡先電話番号,売り手の連絡先電話番号。,1840,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:Contact/ cbc:Telephone,0..1,
1880,JC32_1_JC23_12,2,,/JC00/JC32_1_JC23/JC32_1_JC23_12,売り手メールアドレス,Text,1570,IBT-043,Seller contact email address,An e-mail address for the contact point.,売り手連絡先電子メールアドレス,売り手の連絡先電子メールアドレス。,1850,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:Contact/ cbc:ElectronicMail,0..1,
1890,,,,,,,1460,IBG-05,SELLER POSTAL ADDRESS,A group of business terms providing information about the address of the Seller.,売り手住所,売り手の住所に関する情報を提供するビジネス用語のグループ。,1590,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PostalAddress,1..1,
1910,JC32_1_JC23_13,2,,/JC00/JC32_1_JC23/JC32_1_JC23_13,売り手郵便番号,Text,1510,IBT-038,Seller post code,The identifier for an addressable group of properties according to the relevant postal service.,売り手郵便番号,売り手の住所の郵便番号。,1630,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PostalAddress/ cbc:PostalZone,0..1,
1920,JC32_1_JC23_14,2,,/JC00/JC32_1_JC23/JC32_1_JC23_14,売り手住所1,Text,1470,IBT-035,Seller address line 1,The main address line in an address.,売り手住所欄1,売り手の住所の主な記載欄。,1600,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PostalAddress/ cbc:StreetName,0..1,
1930,JC32_1_JC23_15,2,,/JC00/JC32_1_JC23/JC32_1_JC23_15,売り手住所2,Text,1480,IBT-036,Seller address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,売り手住所欄2,売り手の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。,1610,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PostalAddress/ cbc:AdditionalStreetName,0..1,
1940,JC32_1_JC23_16,2,,/JC00/JC32_1_JC23/JC32_1_JC23_16,売り手住所3,Text,1490,IBT-162,Seller address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,売り手住所欄3,売り手の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。,1660,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PostalAddress/ cac:AddressLine/ cbc:Line,0..1,
1945,JC32_1_JC23_27,2,,/JC00/JC32_1_JC23/JC32_1_JC23_27,売り手住所 市区町村,Text,1500,IBT-037,Seller city,"The common name of the city	 town or village	 where the Seller address is located.",売り手住所 市区町村,売り手が所在する市、町、村の通称。,1620,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PostalAddress/ cbc:CityName,0..1,
1947,JC32_1_JC23_28,2,,/JC00/JC32_1_JC23/JC32_1_JC23_28,売り手住所 都道府県,Text,1520,IBT-039,Seller country subdivision,The subdivision of a country.,売り手住所 都道府県,売り手の住所の地方区分。,1640,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PostalAddress/ cbc:CountrySubentity,0..1,
1950,JC32_1_JC23_17,2,,/JC00/JC32_1_JC23/JC32_1_JC23_17,売り手国ID,Code,1530,IBT-040,Seller country code,A code that identifies the country.,売り手国コード,売り手の住所の国コード。,1680,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cac:PostalAddress/ cac:Country/ cbc:IdentificationCode,1..1,JP
1980,JC32_1_JC23_18,2,,/JC00/JC32_1_JC23/JC32_1_JC23_18,国際アドレス登録機関コード,Code,1440,IBT-034-1,Seller electronic address Scheme identifier,The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.,スキーマID,スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。,1500,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cbc:EndpointID/@schemeID,1..1,
1990,JC32_1_JC23_19,2,,/JC00/JC32_1_JC23/JC32_1_JC23_19,売り手国際アドレス,Identifier,1430,IBT-034,Seller electronic address,Identifies the Seller’s electronic address to which the application level response to the invoice may be delivered.,売り手電子アドレス,請求書に対するアプリケーションレベルの応答が配信される売り手の電子アドレスを識別する。,1490,/Invoice/ cac:AccountingSupplierParty/ cac:Party/ cbc:EndpointID,1..1,
2000,JC33_2_JC23,1,1,/JC00/JC33_2_JC23,買い手,,1580,IBG-07,BUYER,A group of business terms providing information about the Buyer.,買い手,買い手に係る情報を提供するビジネス用語のグループ。,1860,/Invoice/ cac:AccountingCustomerParty,1..1,
2020,JC33_2_JC23_01,2,,/JC00/JC33_2_JC23/JC33_2_JC23_01,買い手ID,Identifier,1610,IBT-046,Buyer identifier,An identifier of the Buyer.,買い手ID,買い手を表すID。,1910,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PartyIdentification/ cbc:ID,0..1,
2030,JC33_2_JC23_20,2,,/JC00/JC33_2_JC23/JC33_2_JC23_20,スキーマID,Code,1620,IBT-046-1,Buyer identifier Scheme identifier,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",スキーマID,使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,1920,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PartyIdentification/ cbc:ID/@schemeID,0..1,
2035,JC33_2_JC23_25,2,,/JC00/JC33_2_JC23/JC33_2_JC23_25,買い手商号,Text,1600,IBT-045,Buyer trading name,"A name by which the Buyer is known	 other than Buyer name (also known as Business name).",買い手商号,買い手名称以外で、知られているビジネス上の名称。,1940,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PartyName/ cbc:Name,1..1,
2040,JC33_2_JC23_02,2,,/JC00/JC33_2_JC23/JC33_2_JC23_02,買い手国際企業ID,Identifier,1630,IBT-047,Buyer legal registration identifier,An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.,買い手法人ID,買い手を表す法人ID。,2120,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PartyLegalEntity/ cbc:CompanyID,0..1,
2050,JC33_2_JC23_21,3,,/JC00/JC33_2_JC23/JC33_2_JC23_21,スキーマID,Code,1640,IBT-047-1,Buyer legal registration identifier Scheme identifier,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",スキーマID,使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,2130,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PartyLegalEntity/ cbc:CompanyID/@schemeID,0..1,
2060,JC33_2_JC23_03,2,,/JC00/JC33_2_JC23/JC33_2_JC23_03,買い手名称,Text,1590,IBT-044,Buyer name,The full name of the Buyer.,買い手名称,買い手の名称。,2110,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PartyLegalEntity/ cbc:RegistrationName,1..1,
2070,JC33_2_JC23_04,2,,/JC00/JC33_2_JC23/JC33_2_JC23_04,適格請求書発行事業者登録番号,Identifier,1650,IBT-048,Buyer TAX identifier,The Buyer’s TAX identifier (also known as Buyer TAX identification number).,買い手税ID,買い手の税ID番号。日本の場合は、適格請求書発行事業者登録番号。,2060,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PartyTaxScheme/ cbc:CompanyID,0..1,
2075,,,,,,,1651,,,,,,2080,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PartyTaxScheme/ cac:TaxScheme,1..1,
2077,JC33_2_JC23_22,3,,/JC00/JC33_2_JC23/JC33_2_JC23_22,税スキーマ,Code,1652,IBT-048-1,Tax Scheme,,税スキーマ,,2090,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PartyTaxScheme/ cac:TaxScheme/ cbc:ID,1..1,VAT
2090,,,,,,,1760,IBG-09,BUYER CONTACT,A group of business terms providing contact information relevant for the Buyer.,買い手連絡先,買い手の連絡先に係る情報を提供するビジネス用語のグループ。,2140,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:Contact,0..1,
2120,JC33_2_JC23_07,2,,/JC00/JC33_2_JC23/JC33_2_JC23_07,買い手担当名,Text,1770,IBT-056,Buyer contact point,A contact point for a legal entity or person.,買い手連絡先,買い手の法人や個人の連絡先。,2150,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:Contact/ cbc:Name,0..1,
2170,JC33_2_JC23_10,2,,/JC00/JC33_2_JC23/JC33_2_JC23_10,買い手電話番号,Text,1780,IBT-057,Buyer contact telephone number,A phone number for the contact point.,買い手連絡先電話番号,買い手の連絡先電話番号。,2160,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:Contact/ cbc:Telephone,0..1,
2230,JC33_2_JC23_12,2,,/JC00/JC33_2_JC23/JC33_2_JC23_12,買い手メールアドレス,Text,1790,IBT-058,Buyer contact email address,An e-mail address for the contact point.,買い手連絡先電子メールアドレス,買い手の連絡先電子メールアドレス。,2170,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:Contact/ cbc:ElectronicMail,0..1,
2240,,,,,,,1680,IBG-08,BUYER POSTAL ADDRESS,A group of business terms providing information about the postal address for the Buyer.,買い手住所,買い手の住所に関する情報を提供するビジネス用語のグループ。,1950,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PostalAddress,1..1,
2260,JC33_2_JC23_13,2,,/JC00/JC33_2_JC23/JC33_2_JC23_13,買い手郵便番号,Text,1730,IBT-053,Buyer post code,The identifier for an addressable group of properties according to the relevant postal service.,買い手郵便番号,買い手の住所の郵便番号。,1990,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PostalAddress/ cbc:PostalZone,0..1,
2270,JC33_2_JC23_14,2,,/JC00/JC33_2_JC23/JC33_2_JC23_14,買い手住所1,Text,1690,IBT-050,Buyer address line 1,The main address line in an address.,買い手住所欄1,買い手の住所の主な記載欄。,1960,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PostalAddress/ cbc:StreetName,0..1,
2280,JC33_2_JC23_15,2,,/JC00/JC33_2_JC23/JC33_2_JC23_15,買い手住所2,Text,1700,IBT-051,Buyer address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,買い手住所欄2,買い手の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。,1970,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PostalAddress/ cbc:AdditionalStreetName,0..1,
2290,JC33_2_JC23_16,2,,/JC00/JC33_2_JC23/JC33_2_JC23_16,買い手住所3,Text,1710,IBT-163,Buyer address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,買い手住所欄3,買い手の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。,2020,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PostalAddress/ cac:AddressLine/ cbc:Line,0..1,
2295,JC33_2_JC23_23,2,,/JC00/JC33_2_JC23/JC33_2_JC23_23,買い手住所 市区町村,Text,1720,IBT-052,Buyer city,"The common name of the city	 town or village	 where the Buyer’s address is located.",買い手住所 市区町村,買い手が所在する市、町、村の通称。,1980,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PostalAddress/ cbc:CityName,0..1,
2297,JC33_2_JC23_24,2,,/JC00/JC33_2_JC23/JC33_2_JC23_24,買い手住所 都道府県,Text,1740,IBT-054,Buyer country subdivision,The subdivision of a country.,買い手住所 都道府県,買い手の住所の地方区分。,2000,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PostalAddress/ cbc:CountrySubentity,0..1,
2300,JC33_2_JC23_17,2,,/JC00/JC33_2_JC23/JC33_2_JC23_17,買い手国ID,Code,1750,IBT-055,Buyer country code,A code that identifies the country.,買い手国コード,買い手の住所の国コード。,2040,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cac:PostalAddress/ cac:Country/ cbc:IdentificationCode,1..1,JP
2330,JC33_2_JC23_18,2,,/JC00/JC33_2_JC23/JC33_2_JC23_18,国際アドレス登録機関コード,Code,1670,IBT-049-1,Buyer electronic address Scheme identifier,The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.,スキーマID,スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。,1890,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cbc:EndpointID/@schemeID,1..1,
2340,JC33_2_JC23_19,2,,/JC00/JC33_2_JC23/JC33_2_JC23_19,買い手国際アドレス,Identifier,1660,IBT-049,Buyer electronic address,Identifies the Buyer’s electronic address to which the invoice is delivered.,買い手電子アドレス,請求書の送信先となる買い手の電子アドレスを識別する。,1880,/Invoice/ cac:AccountingCustomerParty/ cac:Party/ cbc:EndpointID,1..1,
2350,JC71_JC01,1,1,/JC00/JC71_JC01,プロジェクト調達,,1105,,,,,,1445,/Invoice,0..1,
2370,JC71_JC01_01,2,,/JC00/JC71_JC01/JC71_JC01_01,プロジェクトID,Document Reference,1110,IBT-011,Project reference,The identification of the project the invoice refers to,プロジェクト参照,発注品に関するプロジェクト・工事案件等を管理するための番号。,1460,/Invoice/ cac:ProjectReference/ cbc:ID,0..1,
2390,JC43_JC34,1,1,/JC00/JC43_JC34,通貨コード,,1045,,,,,,1095,/Invoice,0..1,
2410,JC43_JC34_01,2,,/JC00/JC43_JC34/JC43_JC34_01,税通貨コード,Code,1060,IBT-006,Tax accounting currency,The currency used for TAX accounting and reporting purposes as accepted or required in the country of the Seller.,税会計報告用通貨コード,会計報告や税務報告に使用する通貨を表すコード。売り手の国で認められたもしくは要求された会計報告や税務報告に使用する通貨を表すコード。,1110,/Invoice/ cbc:TaxCurrencyCode,0..1,
2420,JC43_JC34_02,2,,/JC00/JC43_JC34/JC43_JC34_02,文書通貨コード,Code,1050,IBT-005,Invoice currency code,"The currency in which all Invoice amounts are given	 except for the Total TAX amount in accounting currency.",請求書通貨コード,請求書に記載された通貨を表すコード。会計通貨での請求書消費税合計金額を除き、請求書に記載されている全て金額の表示の通貨コード。,1100,/Invoice/ cbc:DocumentCurrencyCode,1..1,
3080,JC37_5_JC23,1,1,/JC00/JC37_5_JC23,支払先,,1800,IBG-10,PAYEE,"A group of business terms providing information about the Payee	 i.e. the role that receives the payment.",支払先,支払先に係る情報を提供するビジネス用語のグループ。,2180,/Invoice/ cac:PayeeParty,0..1,
3100,JC37_5_JC23_01,2,,/JC00/JC37_5_JC23/JC37_5_JC23_01,支払先ID,Code,1820,IBT-060,Payee identifier,An identifier for the Payee.,支払先ID,支払先のID。,2200,/Invoice/ cac:PayeeParty/ cac:PartyIdentification/ cbc:ID,0..1,
3110,JC37_5_JC23_16,2,,/JC00/JC37_5_JC23/JC37_5_JC23_16,スキーマID,Code,1830,IBT-060-1,Payee identifier Scheme identifier,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",スキーマID,使用する場合、識別スキーマは、ISO/ IEC 6523 保守機関として公開されたリストから選択しなければならない。,2210,/Invoice/ cac:PayeeParty/ cac:PartyIdentification/ cbc:ID/@schemeID,0..1,
