semSort,鑑ヘッダ\n文書ヘッダ\n明細行,core_id,id,レベル,繰返し,項目名,項目種,Object Class,Property,Representation,Associated Class,項目定義,UN_CCL_ID,項目種,行番号,SME ID,項目名,項目定義,既定値,繰返し,Level,SME CII XPath,PINT syntax sort,Id,Card.,Level,Business Term,Business Term ja,Description,説明,既定値,UBL XPath
1100,鑑ヘッダ,JBT-008,A01-08,1,0..1,取引プロセス名,BBIE,Invoice,ProcessName,Text,,取引プロセスの名称,UN01005473,BBIE,1060,ID4,取引プロセス名,取引プロセスの名称,,0..1,4,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedCIDocumentContextParameter/ram:Value,,,,,,,,,,
1110,鑑ヘッダ,,,,,,,,,,,取引プロセスのバージョンに関する情報,UN01005474,ASBIE,1070,,取引プロセス/バージョングループ,取引プロセスのバージョンに関する情報,,1..1,4,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedCIDocumentContextParameter/ram:SpecifiedCIDocumentVersion,,,,,,,,,,
1120,鑑ヘッダ,JBT-009,A01-09,1,1..1,バージョン識別子,BBIE,Invoice,DocumentVersionID,Code,,取引プロセスのバージョン識別子,UN01005476,BBIE,1080,ID5,バージョン識別子,取引プロセスのバージョン識別子,,1..1,5,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedCIDocumentContextParameter/ram:SpecifiedCIDocumentVersion/ram:ID,,,,,,,,,,
1130,鑑ヘッダ,JBT-010,A01-10,1,1..1,バージョン発行日,BBIE,Invoice,DocumentVersionIssueDateTime,Date,,取引プロセスのバージョン発行日,UN01005478,BBIE,1090,ID6,バージョン発行日,取引プロセスのバージョン発行日,,1..1,5,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedCIDocumentContextParameter/ram:SpecifiedCIDocumentVersion/ram:IssueDateTime/udt:DateTimeString,,,,,,,,,,
1140,鑑ヘッダ,,,,,,,,,,,取引設定内容の取引シナリオに関する情報,UN01005483,ASBIE,1100,CL3,取引設定内容/取引シナリオグループ,取引設定内容の取引シナリオに関する情報,,0..1,3,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:ScenarioSpecifiedCIDocumentContextParameter,,,,,,,,,,
1150,鑑ヘッダ,JBT-011,A01-11,1,0..1,取引シナリオ識別子,BBIE,Invoice,ScenarioID,Code,,取引シナリオの識別子(ID),UN01005472,BBIE,1110,ID7,取引シナリオ識別子,取引シナリオの識別子(ID),,0..1,4,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:ScenarioSpecifiedCIDocumentContextParameter/ram:ID,,,,,,,,,,
1160,鑑ヘッダ,JBT-012,A01-12,1,0..1,取引シナリオ名,BBIE,Invoice,ScenarioValue,Text,,取引シナリオの名称,UN01005473,BBIE,1120,ID8,取引シナリオ名,取引シナリオの名称,,0..1,4,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:ScenarioSpecifiedCIDocumentContextParameter/ram:Value,,,,,,,,,,
1170,鑑ヘッダ,,,,,,,,,,,取引設定内容のアプリケーションに関する情報,UN01005484,ASBIE,1130,CL4,取引設定内容/アプリケーショングループ,取引設定内容のアプリケーションに関する情報,,0..1,3,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:ApplicationSpecifiedCIDocumentContextParameter,,,,,,,,,,
1180,鑑ヘッダ,JBT-013,A01-13,1,0..1,アプリケーション識別子,BBIE,Invoice,ApplicationID,Code,,業務アプリケーションの識別子,UN01005472,BBIE,1140,ID9,アプリケーション識別子,業務アプリケーションの識別子,,0..1,4,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:ApplicationSpecifiedCIDocumentContextParameter/ram:ID,,,,,,,,,,
1190,鑑ヘッダ,JBT-014,A01-14,1,0..1,アプリケーション名,BBIE,Invoice,ApplicationValue,Text,,業務アプリケーションの名称,UN01005473,BBIE,1150,ID10,アプリケーション名,業務アプリケーションの名称,,0..1,4,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:ApplicationSpecifiedCIDocumentContextParameter/ram:Value,,,,,,,,,,
1200,鑑ヘッダ,,,,,,,,,,,取引設定内容の業務領域の情報に関する情報,UN01005486,ASBIE,1160,CL5,取引設定内容/業務領域グループ,取引設定内容の業務領域の情報に関する情報,,1..1,3,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:SubsetSpecifiedCIDocumentContextParameter,,,,,,,,,,
1210,鑑ヘッダ,JBT-015,A01-15,1,1..1,業務領域識別子,BBIE,Invoice,SubsetID,Code,,SIPSが付与したメッセージ業務領域識別子(ID),UN01005472,BBIE,1170,ID11,業務領域識別子,SIPSが付与したメッセージ業務領域識別子(ID),,1..1,4,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:SubsetSpecifiedCIDocumentContextParameter/ram:ID,1010,IBT-024,1..1,2,Specification identifier,仕様ID,"An identification of the specification containing the total set of rules regarding semantic content	 cardinalities and business rules to which the data contained in the instance document conforms.",取引プロセスのID。セマンティックコンテンツ、カーディナリティや、インスタンス文書に含まれているデータが準拠すべきビジネスルールに関するルール一式を含む、仕様を識別する。,,/Invoice/cbc:CustomizationID
1220,鑑ヘッダ,JBT-016,A01-16,1,0..1,業務領域名,BBIE,Invoice,SubsetValue,Text,,SIPSが付与したメッセージ業務領域名称,UN01005473,BBIE,1180,ID12,業務領域名,SIPSが付与したメッセージ業務領域名称,,0..1,4,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:SubsetSpecifiedCIDocumentContextParameter/ram:Value,,,,,,,,,,
1230,鑑ヘッダ,,,,,,,,,,,業務領域のバージョンに関する情報,UN01005474,ASBIE,1190,,業務領域/バージョングループ,業務領域のバージョンに関する情報,,1..1,4,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:SubsetSpecifiedCIDocumentContextParameter/ram:SpecifiedCIDocumentVersion,,,,,,,,,,
1240,鑑ヘッダ,JBT-017,A01-17,1,0..1,バージョン識別子,BBIE,Invoice,VersionID,Code,,業務領域のバージョン識別子,UN01005476,BBIE,1200,ID13,バージョン識別子,業務領域のバージョン識別子,,1..1,5,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:SubsetSpecifiedCIDocumentContextParameter/ram:SpecifiedCIDocumentVersion/ram:ID,,,,,,,,,,
1250,鑑ヘッダ,JBT-018,A01-18,1,0..1,バージョン発行日,BBIE,Invoice,VersionDateTime,Date,,業務領域のバージョン発行日,UN01005478,BBIE,1210,ID14,バージョン発行日,業務領域のバージョン発行日,,1..1,5,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:SubsetSpecifiedCIDocumentContextParameter/ram:SpecifiedCIDocumentVersion/ram:IssueDateTime/udt:DateTimeString,,,,,,,,,,
1260,鑑ヘッダ,,,,,,,,,,,インボイス文書に関する情報項目のクラス,UN01005861,ASMA,1220,ICL1,インボイス文書クラス,インボイス文書に関する情報項目のクラス,,1..1,2,/rsm:SMEinvoice/rsm:CIIHExchangedDocument,,,,,,,,,,
1270,鑑ヘッダ,JBT-019,A01-19,1,1..1,インボイス文書番号,BBIE,Invoice,DocumentID,Identifier,,インボイス文書を識別する文書番号または文書文字列,UN01005862,BBIE,1230,IID1,インボイス文書番号,インボイス文書を識別する文書番号または文書文字列,,1..1,3,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:ID,1030,IBT-001,1..1,1,Invoice number,請求書番号,A unique identification of the Invoice.,請求書の一意識別番号。,,/Invoice/cbc:ID
1280,鑑ヘッダ,JBT-020,A01-20,1,0..1,インボイス文書名,BBIE,Invoice,DocumentName,Text,,インボイス文書の文書名称,UN01005863,BBIE,1240,IID2,インボイス文書名,インボイス文書の文書名称,,0..1,3,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:Name,,,,,,,,,,
1290,鑑ヘッダ,JBT-021,A01-21,1,1..1,インボイス文書タイプコード,BBIE,Invoice,DocumentTypeCode,Code,,インボイス文書のタイプを識別するコード\nデフォルトは「合算請求書パターン１」,UN01005864,BBIE,1250,IID3,インボイス文書タイプコード,インボイス文書のタイプを識別するコード\nデフォルトは「合算請求書パターン１」,,1..1,3,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:TypeCode,1070,IBT-003,1..1,1,Invoice type code,請求書タイプコード,A code specifying the functional type of the Invoice.,この文書のタイプを識別するコード。請求書の機能を特定するためのコード。,,/Invoice/cbc:InvoiceTypeCode
1300,鑑ヘッダ,JBT-022,A01-22,1,1..1,インボイス文書発効日,BBIE,Invoice,DocumentIssueDateTime,Date,,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,UN01005865,BBIE,1260,IID4,インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,,1..1,3,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:IssueDateTime/udt:DateTimeString,1040,IBT-002,1..1,1,Invoice issue date,請求書発行日,The date when the Invoice was issued.,請求書の発行日付。,,/Invoice/cbc:IssueDate
1310,鑑ヘッダ,,,,,,,,,,,インボイス文書の発行時刻，またはインボイス文書の書面上の発行異国。,,,,,,,,,,,1050,IBT-168,0..1,1,Invoice issue time,請求書発行時刻,The time of day when an invoice was issued,請求書の発行時刻。,,/Invoice/cbc:IssueTime
1320,鑑ヘッダ,JBT-023,A01-23,1,0..1,インボイス文書目的コード,BBIE,Invoice,DocumentPurposeCode,Code,,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,UN01005869,BBIE,1270,IID5,インボイス文書目的コード,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,,0..1,3,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:PurposeCode,,,,,,,,,,
1330,鑑ヘッダ,JBT-024,A01-24,1,0..1,インボイス文書履歴番号,BBIE,Invoice,DocumentPreviousRevisionID,Code,,インボイス文書の変更履歴を管理する番,UN01005874,BBIE,1280,IID6,インボイス文書履歴番号,インボイス文書の変更履歴を管理する番,,0..1,3,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:PreviousRevisionID,,,,,,,,,,
1340,鑑ヘッダ,JBT-025,A01-25,1,1..1,インボイス文書類型コード,BBIE,Invoice,DocumentCategoryCode,Code,,インボイス文書の類型（単一文書日本円取引、単一文書外貨建て取引、統合文書日本円取引等）を識別するコード\nデフォルトは「単一文書日本円取引」,UN01005875,BBIE,1290,IID7,インボイス文書類型コード,インボイス文書の類型（単一文書日本円取引、単一文書外貨建て取引、統合文書日本円取引等）を識別するコード\nデフォルトは「単一文書日本円取引」,?,1..1,3,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:CategoryCode,,,,,,,,,,
1350,鑑ヘッダ,JBT-026,A01-26,1,1..1,インボイス文書サブタイプコード,BBIE,Invoice,DocumentSubtypeCode,Code,,地域固有の文書のタイプを識別するコード\nデフォルトは「合算請求書パターン１」,UN01014636,BBIE,1300,IID8,インボイス文書サブタイプコード,地域固有の文書のタイプを識別するコード\nデフォルトは「合算請求書パターン１」,?,1..1,3,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:SubtypeCode,,,,,,,,,,
1360,鑑ヘッダ,,,,,,,,,,,プロジェクト調達に関する情報のクラス,UN01011516,ASBIE,1990,ICL13,インボイス文書契約／プロジェクト調達グループ,プロジェクト調達に関するグループ,,0..1,4,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SpecifiedProcuringProject,1420,,0..1,,,,,,,/Invoice/cac:ProjectReference
1370,鑑ヘッダ,JBT-027,A01-27,1,0..1,プロジェクト調達番号,BBIE,Invoice,ProcureingProjectID,Document Reference,,発注品に関するプロジェクト・工事案件等を管理するための番号。,UN01000372,BBIE,2000,IID62,プロジェクト番号,発注品に関するプロジェクト・工事案件等を管理するための番号。,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SpecifiedProcuringProject/ram:ID,1430,IBT-011,0..1,1,Project reference,プロジェクト参照,The identification of the project the invoice refers to,発注品に関するプロジェクト・工事案件等を管理するための番号。,,/Invoice/cac:ProjectReference/cbc:ID
1380,鑑ヘッダ,JBT-028,A01-28,1,0..1,プロジェクト調達名,BBIE,Invoice,ProcureingProjectName,Text,,発注品に関するプロジェクト・工事案件等の名称。,UN01000374,BBIE,2010,IID63,プロジェクト名,発注品に関するプロジェクト・工事案件等の名称。,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SpecifiedProcuringProject/ram:Name,,,,,,,,,,
1390,鑑ヘッダ,,,,,,,,,,,ヘッダ取引期間に関する情報からなるクラス,UN01005925,ASBIE,3430,ICL37,インボイス文書決済／鑑ヘッダ取引期間グループ,インボイス文書の取引期間に関するグループ,,0..1,4,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod,1150,IBG-14,0..1,2,INVOICING PERIOD,請求期間,A group of business terms providing information on the invoice period.,請求期間に関わる情報を提供するビジネス用語のグループ。,,/Invoice/cac:InvoicePeriod
1400,鑑ヘッダ,JBT-029,A01-29,1,1..1,鑑ヘッダ取引開始日,BBIE,Invoice,PeriodStartDateTime,Date,,インボイス文書の取引開始日,UN01005612,BBIE,3440,IID161,鑑ヘッダ取引開始日,インボイス文書の取引開始日,,1..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod/ram:StartDateTime/udt:DateTimeString,1160,IBT-073,0..1,3,Invoicing period start date,請求期間開始日,The date when the Invoice period starts.,請求期間開始日。,,/Invoice/cac:InvoicePeriod/cbc:StartDate
1410,鑑ヘッダ,JBT-030,A01-30,1,1..1,鑑ヘッダ取引終了日,BBIE,Invoice,PeriodEndDateTime,Date,,インボイス文書の取引終了日,UN01005613,BBIE,3450,IID162,鑑ヘッダ取引終了日,インボイス文書の取引終了日,,1..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod/ram:EndDateTime/udt:DateTimeString,1170,IBT-074,0..1,3,Invoicing period end date,請求期間終了日,The date when the Invoice period ends.,請求期間終了日。,,/Invoice/cac:InvoicePeriod/cbc:EndDate
1420,鑑ヘッダ,JBG-01,A02,1,0..1,請求者為替,ADBIE,Invoice,InvoiceApplicable,__,CurrencyExchange,請求に関する為替に関するグループ,UN01005921,ASBIE,2060,ICL29,インボイス文書決済／請求者為替グループ,請求に関する為替に関するグループ,,0..1,4,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceApplicableCITradeCurrencyExchange,,,,,,,,,,
1430,鑑ヘッダ,JBT-031,A02-01,2,0..1,為替交換元通貨コード,BBIE,CurrencyExchange,SourceCurrencyCode,Code,,為替における交換元通貨を表すコード\nデフォルト＝「JPY」,UN01005739,BBIE,2070,IID133,為替交換元通貨コード,為替における交換元通貨を表すコード\nデフォルト＝「JPY」,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceApplicableCITradeCurrencyExchange/ram:SourceCurrencyCode,,,,,,,,,,
1440,鑑ヘッダ,JBT-032,A02-02,2,0..1,為替交換先通貨コード,BBIE,CurrencyExchange,TargetCurrencyCode,Code,,為替における交換先通貨を表すコード\nデフォルト＝「JPY」,UN01005741,BBIE,2080,IID134,為替交換先通貨コード,為替における交換先通貨を表すコード\nデフォルト＝「JPY」,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceApplicableCITradeCurrencyExchange/ram:TargetCurrencyCode,,,,,,,,,,
1450,鑑ヘッダ,JBT-033,A02-03,2,0..1,為替レート,BBIE,CurrencyExchange,ConversionRate,Percentage,,為替交換のレート,UN01005744,BBIE,2090,IID135,為替レート,為替交換のレート,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceApplicableCITradeCurrencyExchange/ram:ConversionRate,,,,,,,,,,
1460,鑑ヘッダ,JBT-034,A02-04,2,0..1,為替レート日時,BBIE,CurrencyExchange,ConversionRateDateTime,Date,,為替交換レートの適用日。,UN01005745,BBIE,2100,IID136,為替レート日時,為替交換レートの適用日。,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceApplicableCITradeCurrencyExchange/ram:ConversionRateDateTime/udt:DateTimeString,,,,,,,,,,
1470,鑑ヘッダ,JBG-02,A03,1,0..1,支払者為替,ASBIE,Invoice,PaymentApplicable,__,CurrencyExchange,支払いに関する為替に関するグループ,UN01005922,ASBIE,2110,ICL30,インボイス文書決済／支払者為替グループ,支払いに関する為替に関するグループ,,0..1,4,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PaymentApplicableCITradeCurrencyExchange,,,,,,,,,,
1480,鑑ヘッダ,JBT-035,A03-01,2,0..1,為替交換元通貨コード,BBIE,CurrencyExchange,SourceCurrencyCode,Code,,為替における交換元通貨を表すコード,UN01005739,BBIE,2120,IID137,為替交換元通貨コード,為替における交換元通貨を表すコード,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PaymentApplicableCITradeCurrencyExchange/ram:SourceCurrencyCode,,,,,,,,,,
1490,鑑ヘッダ,JBT-036,A03-02,2,0..1,為替交換先通貨コード,BBIE,CurrencyExchange,TargetCurrencyCode,Code,,為替における交換先通貨を表すコード,UN01005741,BBIE,2130,IID138,為替交換先通貨コード,為替における交換先通貨を表すコード,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PaymentApplicableCITradeCurrencyExchange/ram:TargetCurrencyCode,,,,,,,,,,
1500,鑑ヘッダ,JBT-037,A03-03,2,0..1,為替レート,BBIE,CurrencyExchange,ConversionRate,Percentage,,為替交換のレート,UN01005744,BBIE,2140,IID139,為替レート,為替交換のレート,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PaymentApplicableCITradeCurrencyExchange/ram:ConversionRate,,,,,,,,,,
1510,鑑ヘッダ,JBT-038,A03-04,2,0..1,為替レート日時,BBIE,CurrencyExchange,ConversionRateDateTime,Date,,為替交換レートの適用日。,UN01005745,BBIE,2150,IID140,為替レート日時,為替交換レートの適用日。,,0..1,5,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PaymentApplicableCITradeCurrencyExchange/ram:ConversionRateDateTime/udt:DateTimeString,,,,,,,,,,
1520,鑑ヘッダ,JBG-03,A04,1,0..n,インボイス文書注釈,ASBIE,Invoice,Included,__,Note,インボイス文書の注釈を記述するためのクラス,UN01005876,ASBIE,1310,ICL2,インボイス文書／注釈グループ,インボイス文書に含まれる注釈。,,0..n,3,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:IncludedCINote,1080,,0..n,,,,,,,/Invoice
1530,鑑ヘッダ,JBT-039,A04-01,2,0..1,インボイス文書注釈表題,BBIE,Note,Subject,Text,,注釈内容の表題を示す。,UN01005558,BBIE,1320,IID9,インボイス文書注釈表題,注釈内容の表題を示す。,,0..1,4,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:IncludedCINote/ram:Subject,,,,,,,,,,
1540,鑑ヘッダ,JBT-040,A04-02,2,0..1,インボイス文書注釈内容,BBIE,Note,Content,Text,,注釈項目毎の内容情報を入力するフリースペース。,UN01005560,BBIE,1330,IID10,インボイス文書注釈内容,注釈項目毎の内容情報を入力するフリースペース。,,0..1,4,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:IncludedCINote/ram:Content,1090,IBT-022,0..1,1,Invoice note,請求書注釈内容,A textual note that gives unstructured information that is relevant to the Invoice as a whole.,注釈の内容を入力するフリースペース。,,/Invoice/cbc:Note
1550,鑑ヘッダ,JBT-041,A04-03,2,0..1,インボイス文書注釈識別子,BBIE,Note,ID,Code,,注釈の識別番号,UN01005562,BBIE,1340,IID11,インボイス文書注釈識別子,注釈の識別番号,,0..1,4,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:IncludedCINote/ram:ID,,,,,,,,,,
1560,鑑ヘッダ,JBG-04,A05,1,0..n,鑑ヘッダ参照文書,ASBIE,Invoice,Reference,__,ReferencedDocument,インボイス文書が参照する文書クラス,UN01012702,ASBIE,1350,ICL3,インボイス文書／参照文書グループ,インボイス文書が参照する文書のグループ,,0..n,3,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:ReferenceCIReferencedDocument,,,,,,,,,,
1570,鑑ヘッダ,JBT-042,A05-01,2,1..1,鑑ヘッダ参照文書番号,BBIE,ReferencedDocument,IssuerAssignedID,Document Reference,,インボイス文書が参照する参照文書の番号,UN01005580,BBIE,1360,IID12,（鑑ヘッダ参照）文書番号,インボイス文書が参照する参照文書の番号,,1..1,4,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:ReferenceCIReferencedDocument/ram:IssuerAssignedID,,,,,,,,,,
1580,鑑ヘッダ,JBT-043,A05-02,2,0..1,鑑ヘッダ参照文書発行日,BBIE,ReferencedDocument,IssueDateTime,Date,,インボイス文書が参照する参照文書の発行日,UN01005582,BBIE,1370,IID13,（鑑ヘッダ参照）文書発行日,インボイス文書が参照する参照文書の発行日,,0..1,4,/rsm:SMEinvoice/rsm:CIIHExchangedDocument/ram:ReferenceCIReferencedDocument/ram:IssueDateTime/udt:DateTimeString,,,,,,,,,,
